clip,start,,,,id
3001_21_JUMP_STREET_00.02.55.644-00.02.56.718,00.02.55.644,00.02.56.718,00.02.55.181,00.02.57.181,[3001_PERSON10]
3001_21_JUMP_STREET_00.02.56.321-00.02.58.664,00.02.56.321,00.02.58.664,00.02.56.321,00.02.58.664,_
3001_21_JUMP_STREET_00.02.59.061-00.03.02.119,00.02.59.061,00.03.02.119,00.02.59.061,00.03.02.119,_
3001_21_JUMP_STREET_00.03.02.119-00.03.05.113,00.03.02.119,00.03.05.113,00.03.02.119,00.03.05.113,[3001_PERSON10]
3001_21_JUMP_STREET_00.03.07.077-00.03.07.559,00.03.07.077,00.03.07.559,00.03.06.318,00.03.08.318,[3001_PERSON10]
3001_21_JUMP_STREET_00.03.07.659-00.03.12.706,00.03.07.659,00.03.12.706,00.03.07.659,00.03.12.706,_
3001_21_JUMP_STREET_00.03.13.271-00.03.16.551,00.03.13.271,00.03.16.551,00.03.13.271,00.03.16.551,[3001_PERSON17]
3001_21_JUMP_STREET_00.03.17.430-00.03.19.702,00.03.17.430,00.03.19.702,00.03.17.430,00.03.19.702,_
3001_21_JUMP_STREET_00.03.23.999-00.03.27.822,00.03.23.999,00.03.27.822,00.03.23.999,00.03.27.822,_
3001_21_JUMP_STREET_00.03.23.999-00.03.27.338,00.03.23.999,00.03.27.338,00.03.23.999,00.03.27.338,_
3001_21_JUMP_STREET_00.03.33.915-00.03.37.182,00.03.33.915,00.03.37.182,00.03.33.915,00.03.37.182,[3001_PERSON10]
3001_21_JUMP_STREET_00.03.39.479-00.03.41.056,00.03.39.479,00.03.41.056,00.03.39.268,00.03.41.268,_
3001_21_JUMP_STREET_00.03.41.156-00.03.43.283,00.03.41.156,00.03.43.283,00.03.41.156,00.03.43.283,_
3001_21_JUMP_STREET_00.03.47.179-00.03.47.864,00.03.47.179,00.03.47.864,00.03.46.522,00.03.48.522,[3001_PERSON10]
3001_21_JUMP_STREET_00.03.47.964-00.03.50.464,00.03.47.964,00.03.50.464,00.03.47.964,00.03.50.464,[3001_PERSON10]
3001_21_JUMP_STREET_00.03.55.477-00.03.57.494,00.03.55.477,00.03.57.494,00.03.55.477,00.03.57.494,[3001_PERSON10]
3001_21_JUMP_STREET_00.03.57.830-00.04.01.433,00.03.57.830,00.04.01.433,00.03.57.830,00.04.01.433,[3001_PERSON10]
3001_21_JUMP_STREET_00.04.08.170-00.04.16.024,00.04.08.170,00.04.16.024,00.04.08.170,00.04.16.024,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_00.04.16.124-00.04.22.796,00.04.16.124,00.04.22.796,00.04.16.124,00.04.22.796,[3001_PERSON17]
3001_21_JUMP_STREET_00.04.23.131-00.04.29.247,00.04.23.131,00.04.29.247,00.04.23.131,00.04.29.247,[3001_PERSON10]
3001_21_JUMP_STREET_00.04.27.661-00.04.30.420,00.04.27.661,00.04.30.420,00.04.27.661,00.04.30.420,_
3001_21_JUMP_STREET_00.04.31.324-00.04.33.334,00.04.31.324,00.04.33.334,00.04.31.324,00.04.33.334,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_00.04.33.589-00.04.37.478,00.04.33.589,00.04.37.478,00.04.33.589,00.04.37.478,_
3001_21_JUMP_STREET_00.04.37.478-00.04.41.088,00.04.37.478,00.04.41.088,00.04.37.478,00.04.41.088,_
3001_21_JUMP_STREET_00.04.41.199-00.04.42.982,00.04.41.199,00.04.42.982,00.04.41.091,00.04.43.091,[3001_PERSON17]
